,baseMean,log2FoldChange,lfcSE,pvalue,padj
Grm2-201,121.017774421649,-3.54764404552246,0.539948105396459,1.71327321530015e-11,9.84170100468138e-10
Scamp3-201,23.5516111165227,-2.49168346733788,0.387453687525503,1.82924651357678e-11,1.04520032174691e-09
A430005L14Rik-201,21.3471491762933,-3.26344365764334,0.512944814084647,1.98759107416952e-11,1.12966684226079e-09
Shisa8-201,21.8641303531389,-4.32046006685779,0.67505808986048,2.26258160590661e-11,1.27735824043346e-09
Pold3-201,66.6869407820782,4.07813952382602,0.616704578445067,2.27122904415183e-11,1.27735824043346e-09
Haus4-201,42.4179688773916,3.08093677551275,0.473366768542786,2.32884010748667e-11,1.30293752263655e-09
Bptf-201,56.3323609171813,2.08273778780517,0.322682175391203,2.52821299541954e-11,1.40715357496356e-09
Bmp15-201,302.482184446651,5.74894651864183,0.92073997249395,2.58479713855994e-11,1.43123148775314e-09
Cltc-202,178.887015785976,1.59712656548392,0.246013332376944,2.60602773532227e-11,1.43558717604266e-09
Tmem255b-202,37.7226582315486,-3.0024945751172,0.473654328937169,2.6451208754956e-11,1.44968818594764e-09
mt-Co1-201,314.892049442738,1.8810848867632,0.292942465729041,2.90273290655761e-11,1.58229554069943e-09
Camk2g-201,31.3728207982,3.07896192250105,0.475906877580227,2.91653804746311e-11,1.58229554069943e-09
G6pdx-201,104.198382693026,1.68630870753212,0.259801423565962,3.17303201083878e-11,1.71279949047388e-09
Tgfb2-201,84.0795477008402,3.40923853999781,0.528945921786703,3.72592887293322e-11,2.00119639765243e-09
D6Ertd527e-204,418.448482229795,-2.49722367773906,0.395617330131504,3.87941854546256e-11,2.07326935399795e-09
Ccdc107-201,10.3673343815816,-4.87029153486739,0.781031916703461,4.01187210507121e-11,2.13344208676609e-09
Syne3-202,11.8275686836408,-3.68223820729094,0.590431533756304,4.26402022569085e-11,2.25635986523996e-09
Cpa1-201,142.69900356587,1.54549649020328,0.240995357742428,4.98843083678538e-11,2.62675117886022e-09
Tmem209-204,79.9155769449949,-2.44910935534835,0.384367442697366,5.5368091527881e-11,2.90128799606097e-09
Polr2c-201,195.663322067688,-1.64549654770127,0.258408437786624,6.35686101616757e-11,3.31482529299379e-09
Cog8-202,12.7144038929139,-3.49891764669528,0.563363089541336,6.83428753919251e-11,3.5465660263771e-09
Cryl1-201,53.0884088555502,2.87155288649356,0.451680944853666,6.92344373241612e-11,3.57555925834683e-09
Tubg2-201,46.0590289689067,2.66150561737068,0.420872316278903,7.46445439613095e-11,3.83651526905448e-09
Cbx2-201,34.3837971572936,-2.55942946852055,0.410513154236395,8.53218333823465e-11,4.36441492472936e-09
Pfdn4-201,135.134743349971,-4.10126488718862,0.645636997014103,8.69125861825971e-11,4.4247156434761e-09
Mlycd-201,9.16354890014224,-5.53847021488686,0.879742307383124,8.91361036387921e-11,4.51650955324483e-09
Gnas-202,90.7376467382793,5.32382407774539,0.844486654914578,1.26414567040848e-10,6.37532994907414e-09
Ube2i-206,73.8912181630012,2.81414313947359,0.449194441254949,1.32598120285653e-10,6.64276269254653e-09
Fbxw21-201,242.620371347061,4.70204841019824,0.738920015099593,1.32954196508798e-10,6.64276269254653e-09
Fip1l1-201,96.0440497495722,1.72598468755299,0.274640196732929,1.36730377596855e-10,6.79980424141399e-09
Esrp1-203,61.7717120437344,1.91086946075605,0.30522405669313,1.37747075155589e-10,6.81879760977575e-09
Nexn-201,132.224763150196,1.21475125150356,0.193225548424736,1.46199998758444e-10,7.20403847093214e-09
Cdc42ep2-201,11.4614318535859,-3.50332298470903,0.577315919592399,1.51507997229311e-10,7.43150185496467e-09
Zfp957-202,49.5333163732539,-2.37952812592729,0.383564591884757,1.59443322227307e-10,7.78518257893513e-09
Hyou1-206,42.4878618165965,2.37912875504354,0.386102417951229,1.67215102185703e-10,8.12771324741546e-09
Calr-201,156.986589658746,2.61973100469833,0.431548161190179,1.69991720680988e-10,8.2254552412395e-09
Rnf181-201,32.0592015469044,-3.60649062849571,0.594878694471093,1.74031211652421e-10,8.38315370210898e-09
Scg3-201,32.8832345483303,7.21280034577354,2.47733319277737,1.87272912344222e-10,8.98073939465014e-09
Rbm7-201,32.4303409635271,-2.55803901500329,0.417817061778315,2.02804650141915e-10,9.68234467477532e-09
mt-Nd1-201,283.994617151447,2.19194303623837,0.361543195858628,2.20812137833161e-10,1.04954158610788e-08
Cpsf4l-205,109.283751318232,-2.09544452558226,0.346590882120826,2.25114069402582e-10,1.0652754773227e-08
Rest-201,46.3035477747804,1.69240475392491,0.274780142244962,2.34013824170588e-10,1.10253355229844e-08
Ctnna1-201,59.7471802358151,-2.12457545495509,0.344428780457719,2.39237484114064e-10,1.12000996802798e-08
Rttn-201,44.8162075650333,-2.79921827347957,0.451835821484869,2.39808501811987e-10,1.12000996802798e-08
Eif5-202,32.7069670023575,2.4925775720987,0.40695983158942,2.59141998886012e-10,1.2050663861617e-08
Chadl-201,8.77460321070519,-4.65701511148511,0.785643871387879,2.75855677817033e-10,1.27725934961662e-08
Ep400-201,82.1395005270086,1.33967546769546,0.21741424994025,2.84858100423908e-10,1.31328142264104e-08
C2cd3-201,43.75493359758,-2.96032216017598,0.47912484163939,2.87288363646544e-10,1.3188254710646e-08
Rad23b-201,58.225175816676,-1.70090569041994,0.27846028278957,2.99398289137046e-10,1.36856869017453e-08
Mad2l1-202,125.687484179236,-2.0923601142379,0.341681171261753,3.11816412674232e-10,1.41929318006212e-08
Obox7-203,87.385806215332,-5.02991885153149,0.789744048630254,3.18617099085241e-10,1.44234706544455e-08
Tbcc-201,15.2688328877139,-3.01468487764615,0.506818392230362,3.19566748813817e-10,1.44234706544455e-08
Xrn2-201,59.2515703930598,-2.78872889314327,0.456431382069458,3.37146806412218e-10,1.51532677593307e-08
Kif14-203,46.5995521724551,2.17110301185622,0.361001023648812,3.43433785647262e-10,1.53715238559287e-08
Tmem109-201,41.3885159152116,-3.48059794330262,0.565078434207118,3.65251827609008e-10,1.62802287642156e-08
Oog4-201,92.6854367039247,1.91507862144275,0.315889297556698,4.31478356933505e-10,1.91526467362798e-08
Son-202,106.57114905554,1.45723623023739,0.23956288249026,4.58826621929816e-10,2.02827801348563e-08
Thap4-206,14.5859301947115,-3.01624053086406,0.514705627752533,4.85062718154209e-10,2.13546873705431e-08
